table_name,column_name,data_type,is_nullable,column_default
accounts_customer,id,bigint,NO,
accounts_customer,top_size_xyz,character varying,YES,
accounts_customer,bottom_size_xyz,character varying,YES,
accounts_customer,size_waist_inches,character varying,YES,
accounts_customer,shoe_size_eu,character varying,YES,
accounts_customer,shoe_size_uk,character varying,YES,
accounts_customer,height,integer,YES,
accounts_customer,weight,integer,YES,
accounts_customer,birth_year,integer,YES,
accounts_customer,user_id,bigint,NO,
accounts_customuser,id,bigint,NO,
accounts_customuser,password,character varying,NO,
accounts_customuser,last_login,timestamp with time zone,YES,
accounts_customuser,is_superuser,boolean,NO,
accounts_customuser,username,character varying,NO,
accounts_customuser,first_name,character varying,NO,
accounts_customuser,last_name,character varying,NO,
accounts_customuser,email,character varying,NO,
accounts_customuser,is_staff,boolean,NO,
accounts_customuser,is_active,boolean,NO,
accounts_customuser,date_joined,timestamp with time zone,NO,
accounts_customuser,is_stylist,character varying,NO,
accounts_customuser,is_customer,character varying,NO,
accounts_customuser,is_seller,character varying,NO,
accounts_customuser,bio,character varying,YES,
accounts_customuser,name,character varying,YES,
accounts_customuser,pfp,character varying,YES,
accounts_customuser,profile_visibility,character varying,NO,
accounts_customuser,credits,integer,NO,
accounts_customuser,trending_mode,character varying,NO,
accounts_customuser,lifeform,character varying,NO,
accounts_customuser,studio_visibility,character varying,NO,
accounts_customuser,email_change_requested_at,timestamp with time zone,YES,
accounts_customuser,is_email_confirmed,boolean,NO,
accounts_customuser,new_email,character varying,YES,
accounts_customuser_groups,id,bigint,NO,
accounts_customuser_groups,customuser_id,bigint,NO,
accounts_customuser_groups,group_id,integer,NO,
accounts_customuser_studio_styles,id,bigint,NO,
accounts_customuser_studio_styles,customuser_id,bigint,NO,
accounts_customuser_studio_styles,style_id,bigint,NO,
accounts_customuser_trending_styles,id,bigint,NO,
accounts_customuser_trending_styles,customuser_id,bigint,NO,
accounts_customuser_trending_styles,style_id,bigint,NO,
accounts_customuser_user_permissions,id,bigint,NO,
accounts_customuser_user_permissions,customuser_id,bigint,NO,
accounts_customuser_user_permissions,permission_id,integer,NO,
accounts_gridpicupload,id,bigint,NO,
accounts_gridpicupload,gridpic_img,character varying,NO,
accounts_gridpicupload,gridpic_processed_img,character varying,YES,
accounts_gridpicupload,timedate_uploaded,timestamp with time zone,NO,
accounts_gridpicupload,deleted_by_uploader,character varying,NO,
accounts_gridpicupload,timedate_deleted_by_uploader,timestamp with time zone,YES,
accounts_gridpicupload,uploader_id_id,bigint,NO,
accounts_invitecode,id,bigint,NO,
accounts_invitecode,invite_code,character varying,NO,
accounts_invitecode,is_used,boolean,NO,
accounts_invitecode,created_at,timestamp with time zone,NO,
accounts_invitecode,invitee_id,bigint,YES,
accounts_invitecode,inviter_id,bigint,YES,
accounts_portraitupload,id,bigint,NO,
accounts_portraitupload,portrait_img,character varying,NO,
accounts_portraitupload,ticket_id_int,integer,YES,
accounts_portraitupload,timedate_created,timestamp with time zone,NO,
accounts_portraitupload,status,character varying,NO,
accounts_portraitupload,outfit_id_id,bigint,YES,
accounts_portraitupload,wearer_id_id,bigint,NO,
accounts_stylist,id,bigint,NO,
accounts_stylist,credits,integer,NO,
accounts_stylist,user_id,bigint,NO,
accounts_userfollows,id,bigint,NO,
accounts_userfollows,created,timestamp with time zone,NO,
accounts_userfollows,user_from_id,bigint,NO,
accounts_userfollows,user_to_id,bigint,NO,
accounts_useritemcart,id,bigint,NO,
accounts_useritemcart,buyer_id,bigint,YES,
accounts_useritemcart,item_id,bigint,YES,
accounts_useritemcart,styler_id,bigint,YES,
accounts_useritemcart,price,double precision,YES,
accounts_useritemcart,size,character varying,YES,
accounts_useritemlikes,id,bigint,NO,
accounts_useritemlikes,item_id,bigint,YES,
accounts_useritemlikes,styler_id,bigint,YES,
accounts_useritemlikes,liker_id,bigint,YES,
accounts_useritemlikes,liked_at,timestamp with time zone,YES,
auth_group,id,integer,NO,
auth_group,name,character varying,NO,
auth_group_permissions,id,bigint,NO,
auth_group_permissions,group_id,integer,NO,
auth_group_permissions,permission_id,integer,NO,
auth_permission,id,integer,NO,
auth_permission,name,character varying,NO,
auth_permission,content_type_id,integer,NO,
auth_permission,codename,character varying,NO,
box_order,id,bigint,NO,
box_order,type,character varying,NO,
box_order,ticket_id_id,bigint,YES,
box_order,money,double precision,YES,
box_order,status,character varying,YES,
box_order,address_customer,character varying,YES,
box_order,address_fumio,character varying,YES,
